;participant;viaje;agrupacion;timestamp;latitude;longitude;velocidad;distancia_acumulada;emocion;id_poligono;contexto_1;contexto_2;contexto_3;SCL;SCR;SKT;MOS;Peak_SCR
1;P13;1;1;11/12/2019 10:46:00;-33.46063451;-70.65701694;0.056540076;0.678480907;;10;Espera bus eléctrico;Espera;2.938665455;-0.061334545;0.28467705;0.008168726;;0.05
2;P13;1;1;11/12/2019 10:46:30;-33.46063373;-70.65700173;0.056540076;2.374683173;;10;Espera bus eléctrico;Espera;3.157618156;0.157618156;0.291557121;0.023488944;;0.025
3;P13;1;1;11/12/2019 10:47:00;-33.46063295;-70.65698653;0.056540076;4.070885439;;10;Espera bus eléctrico;Espera;2.678985891;-0.321014109;0.00700502;0.000165832;;0
4;P13;1;1;11/12/2019 10:47:30;-33.46063248;-70.6569774;0;5.088606799;;10;Espera bus eléctrico;Espera;2.564986099;-0.435013901;-0.005558208;6.01E-05;;0
5;P13;1;1;11/12/2019 10:48:00;-33.46063248;-70.6569774;0;5.088606799;;10;Espera bus eléctrico;Espera;2.55218793;-0.44781207;-0.074877392;0.000234413;;0
6;P13;1;1;11/12/2019 10:48:30;-33.46063248;-70.6569774;0;5.088606799;;10;Espera bus eléctrico;Espera;3.026946399;0.026946399;-0.212341897;0.002568353;;0.05
7;P13;1;1;11/12/2019 10:49:00;-33.46063248;-70.6569774;0;5.088606799;;10;Espera bus eléctrico;Espera;3.136209043;0.136209043;-0.284325164;0.000511855;;0.05
8;P13;1;1;11/12/2019 10:49:30;-33.46063248;-70.6569774;0;5.088606799;;10;Espera bus eléctrico;Espera;3.202995996;0.202995996;-0.123798238;0.003227701;;0.025
9;P13;1;1;11/12/2019 10:50:00;-33.46063248;-70.6569774;0;5.088606799;;10;Espera bus eléctrico;Espera;3.160268054;0.160268054;-0.055884295;0.000333977;;0
10;P13;1;1;11/12/2019 10:50:30;-33.46063248;-70.6569774;0;5.088606799;;10;Espera bus eléctrico;Espera;2.999953221;-4.68E-05;0.240627723;0.001306847;;0.075
11;P13;1;1;11/12/2019 10:51:00;-33.46063248;-70.6569774;0;5.088606799;;10;Espera bus eléctrico;Espera;2.951877077;-0.048122923;-0.015104185;0.0003436;;0
12;P13;1;1;11/12/2019 10:51:30;-33.46063248;-70.6569774;0;5.088606799;;10;Espera bus eléctrico;Espera;2.909838027;-0.090161973;-0.022238795;3.68E-06;;0
13;P13;1;1;11/12/2019 10:52:00;-33.46063248;-70.6569774;0;5.088606799;;10;Espera bus eléctrico;Espera;2.772994201;-0.227005799;0.067222577;6.74E-05;;0
14;P13;1;1;11/12/2019 10:52:30;-33.46063248;-70.6569774;0;5.088606799;;10;Espera bus eléctrico;Espera;2.901163012;-0.098836988;-0.409935155;0.000413783;;0.025
15;P13;1;1;11/12/2019 10:53:00;-33.46063248;-70.6569774;0;5.088606799;;10;Espera bus eléctrico;Espera;3.062990604;0.062990604;-0.043457754;0.017637736;;0.025
16;P13;1;1;11/12/2019 10:53:30;-33.46063248;-70.6569774;0;5.088606799;;10;Espera bus eléctrico;Espera;2.902145943;-0.097854057;-0.027621239;0.020136985;;0.05
17;P13;1;1;11/12/2019 10:54:00;-33.46063248;-70.6569774;0;5.088606799;;10;Espera bus eléctrico;Espera;2.705894937;-0.294105063;0.066463037;8.65E-05;;0
18;P13;1;1;11/12/2019 10:54:30;-33.46063248;-70.6569774;0;5.088606799;;10;Espera bus eléctrico;Espera;3.193538361;0.193538361;0.683941765;0.017217948;;0.025
19;P13;1;1;11/12/2019 10:55:00;-33.46063248;-70.6569774;0;5.088606799;;10;Espera bus eléctrico;Espera;3.453017709;0.453017709;-0.033023991;1.73E-05;;0
20;P13;1;1;11/12/2019 10:55:30;-33.46063248;-70.6569774;0;5.088606799;;10;Espera bus eléctrico;Espera;3.470290035;0.470290035;0.394133063;0.004342939;;0
21;P13;1;1;11/12/2019 10:56:00;-33.46063248;-70.6569774;0;5.088606799;;10;Espera bus eléctrico;Espera;3.550856892;0.550856892;-0.160073342;0.001078015;;0
22;P13;1;1;11/12/2019 10:56:30;-33.46063248;-70.6569774;0;5.088606799;;10;Espera bus eléctrico;Espera;3.534281947;0.534281947;-0.065009719;0.001462417;;0.025
23;P13;1;1;11/12/2019 10:57:00;-33.46063248;-70.6569774;0;5.088606799;;10;Espera bus eléctrico;Espera;3.114111954;0.114111954;0.025093925;0.046408549;;0.025
24;P13;1;1;11/12/2019 10:57:30;-33.4605958;-70.65685477;0.723014857;13.01426743;;10;Bus eléctrico 1;Bus eléctrico;2.785470399;-0.214529601;-0.046098077;0.001094938;;0.025
25;P13;1;1;11/12/2019 10:58:00;-33.46057313;-70.65666182;0.723014857;34.70471314;;10;Bus eléctrico 1;Bus eléctrico;2.880805869;-0.119194131;0.22714132;0.000454618;;0.025
26;P13;1;1;11/12/2019 10:58:30;-33.46054978;-70.65646899;0.723014857;56.39515886;;10;Bus eléctrico 1;Bus eléctrico;3.349079503;0.349079503;-0.201447093;0.00258487;;0.05
27;P13;1;1;11/12/2019 10:59:00;-33.46047222;-70.65580406;5.14392335;131.1365065;;11;Bus eléctrico 1;Bus eléctrico;2.791378069;-0.208621931;-0.062026642;0.000115821;;0.025
